#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,11,5.772251
-1.0,25,17.715136
-1.0,25,28.266538
-1.0,14,34.399036
-1.0,25,45.856027
-1.0,4,47.575082
-1.0,26,58.368838
-1.0,15,65.113579
-1.0,27,76.507641
-1.0,10,81.055879
-1.0,38,96.554824
-1.0,14,102.316617
-1.0,29,114.269312
-1.0,13,120.237638
-1.0,24,130.951988
-1.0,20,139.643542
-1.0,14,145.305617
-1.0,39,160.900703
-1.0,20,169.847416
-1.0,13,176.06473
-1.0,6,178.538594
-1.0,20,187.023865
-1.0,24,197.193503
-1.0,21,206.835609
-1.0,14,213.25111
-1.0,15,219.883648
-1.0,19,228.09361
-1.0,15,235.02508
-1.0,26,245.929091
-1.0,20,254.180638
-1.0,27,266.014907
-1.0,11,270.907553
-1.0,13,276.690785
-1.0,10,280.737043
-1.0,31,294.05381
-1.0,25,303.935774
-1.0,29,316.025847
-1.0,52,335.968878
-1.0,11,340.967055
-1.0,21,349.956589
-1.0,17,357.679694
-1.0,18,365.418152
-1.0,12,370.739047
-1.0,30,383.129678
-1.0,16,390.032111
-1.0,5,392.1902
-1.0,28,403.804132
-1.0,16,410.864254
-1.0,15,416.98469
-1.0,20,425.485533
-1.0,21,434.64547
-1.0,17,442.420795
-1.0,29,454.534532
-1.0,35,469.434798
-1.0,7,472.594064
-1.0,11,477.111155
-1.0,22,486.446458
-1.0,10,490.8938
-1.0,35,504.720714
-1.0,26,516.342065
-1.0,18,524.397547
-1.0,6,526.915289
-1.0,24,538.507894
-1.0,14,544.578632
-1.0,28,555.796549
-1.0,9,559.754874
-1.0,14,565.662055
-1.0,31,578.601914
-1.0,24,589.671793
-1.0,16,597.166518
-1.0,20,606.085299
-1.0,44,623.333662
-1.0,31,635.761873
-1.0,14,641.625326
-1.0,29,653.969509
-1.0,12,659.301051
-1.0,26,669.529618
-1.0,7,672.97786
-1.0,18,681.269075
-1.0,6,683.848505
-1.0,11,688.612442
-1.0,29,700.75326
-1.0,11,705.288337
-1.0,9,709.698205
-1.0,28,722.945895
-1.0,14,728.863854
-1.0,47,747.437057
-1.0,14,753.822474
-1.0,20,762.970559
-1.0,19,770.559655
-1.0,23,781.12753
-1.0,21,790.806542
-1.0,18,799.019672
-1.0,22,808.42371
-1.0,26,819.880639
-1.0,5,821.844902
-1.0,31,834.519865
-1.0,30,846.845588
-1.0,9,850.685684
-1.0,14,856.489912
-1.0,33,870.751477
-1.0,10,874.87882
-1.0,13,882.310184
-1.0,14,888.862352
-1.0,26,900.563751
-1.0,23,910.629843
-1.0,12,916.11191
